127.0.0.1 - - [21/Aug/2023:16:32:14 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:17 -0300] "GET /prjModulo8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:19 -0300] "GET /prjModulo8/ HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:26 -0300] "GET /prjModulo8/console HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:26 -0300] "GET /prjModulo8/console/ HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:26 -0300] "GET /prjModulo8/console/stylesheet.css HTTP/1.1" 200 4924
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:26 -0300] "GET /prjModulo8/console/login.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 8981
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:26 -0300] "GET /prjModulo8/console/background.gif HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "POST /prjModulo8/console/login.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/header.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 8070
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/help.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/query.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 16430
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_disconnect.gif HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_line.gif HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_help.gif HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_refresh.gif HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_history.gif HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_rollback.gif HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_commit.gif HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_run.gif HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_run_selected.gif HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/icon_stop.gif HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tables.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree.js HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_database.gif HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_empty.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_table.gif HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_column.gif HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_minus.gif HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_plus.gif HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_type.gif HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_folder.gif HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_users.gif HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_user.gif HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:32:28 -0300] "GET /prjModulo8/console/tree_info.gif HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:18 -0300] "GET /prjModulo8/console/logout.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:18 -0300] "GET /prjModulo8/console/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:18 -0300] "GET /prjModulo8/console/login.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 8981
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:18 -0300] "GET /prjModulo8/console/background.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "POST /prjModulo8/console/login.do?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/header.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 8070
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/help.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/query.jsp?jsessionid=2b35bcd19b0143361df7bc975c3bba7b HTTP/1.1" 200 16430
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_disconnect.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_help.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_line.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2023:16:33:20 -0300] "GET /prjModulo8/console/icon_history.gif HTTP/1.1" 304 -
